date,production_unit,product_name,fabric_type,production_quantity,raw_material_cost_per_unit,finished_goods_stock,production_lead_time_days,export_order_flag,season_event
2024-01-01,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,226,138.86,840,5,0,none
2024-01-01,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,85,207.39,170,14,0,none
2024-01-01,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,58,277.44,214,10,0,none
2024-01-01,Unit-Tirupur,Kids Denim Jeans,Denim,53,318.89,120,5,0,none
2024-01-01,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,39,431.21,106,7,0,none
2024-01-01,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,203,149.31,769,5,0,none
2024-01-01,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,92,220.37,211,14,0,none
2024-01-01,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,56,269.78,207,10,0,none
2024-01-01,Unit-Ludhiana,Kids Denim Jeans,Denim,,316.5,207,10,1,none
2024-01-01,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,,450.48,125,14,0,none
2024-01-01,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,247,131.81,876,10,0,none
2024-01-01,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,93,205.7,277,7,0,none
2024-01-01,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,76,275.73,269,5,0,none
2024-01-01,Unit-Jaipur,Kids Denim Jeans,Denim,56,316.71,176,7,0,none
2024-01-01,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,41,452.53,100,7,1,none
2024-01-02,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,244,149.69,542,14,0,none
2024-01-02,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,99,205.02,386,5,0,none
2024-01-02,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,67,283.85,254,14,0,none
2024-01-02,Unit-Tirupur,Kids Denim Jeans,Denim,49,305.76,194,7,0,none
2024-01-02,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,44,461.77,117,10,0,none
2024-01-02,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,241,141.55,780,7,0,none
2024-01-02,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,88,227.6,294,14,0,none
2024-01-02,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,68,281.86,207,7,1,none
2024-01-02,Unit-Ludhiana,Kids Denim Jeans,Denim,58,310.33,199,5,0,none
2024-01-02,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,39,435.15,111,10,0,none
2024-01-02,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,215,136.59,534,5,0,none
2024-01-02,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,70,217.95,243,7,0,none
2024-01-02,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,76,268.91,168,10,0,none
2024-01-02,Unit-Jaipur,Kids Denim Jeans,Denim,51,319.22,137,14,0,none
2024-01-02,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,35,460.27,,5,1,none
2024-01-03,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,205,140.42,455,5,0,none
2024-01-03,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,87,207.84,305,5,0,none
2024-01-03,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,76,278.16,182,14,0,none
2024-01-03,Unit-Tirupur,Kids Denim Jeans,Denim,47,316.93,167,10,0,none
2024-01-03,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,37,459.8,135,14,1,none
2024-01-03,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,1065,147.11,3313,10,0,none
2024-01-03,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,330,,1105,10,0,none
2024-01-03,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,73,294.42,256,5,0,none
2024-01-03,Unit-Ludhiana,Kids Denim Jeans,Denim,53,315.78,162,5,0,none
2024-01-03,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,37,438.88,132,14,0,none
2024-01-03,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,1015,139.78,2576,7,0,none
2024-01-03,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,83,216.45,307,10,0,none
2024-01-03,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,69,277.65,194,5,0,none
2024-01-03,Unit-Jaipur,Kids Denim Jeans,Denim,53,303.98,117,10,0,none
2024-01-03,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,36,461.89,,7,0,none
2024-01-04,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,188,148.23,661,10,0,none
2024-01-04,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,90,234.04,242,14,0,none
2024-01-04,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,66,280.7,150,5,0,none
2024-01-04,Unit-Tirupur,Kids Denim Jeans,Denim,51,301.56,169,5,0,none
2024-01-04,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,36,453.09,97,7,0,none
2024-01-04,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,253,147.6,912,14,1,none
2024-01-04,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,,220.96,270,14,1,none
2024-01-04,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,63,286.79,216,5,0,none
2024-01-04,Unit-Ludhiana,Kids Denim Jeans,Denim,54,309.33,138,5,0,none
2024-01-04,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,185,463.84,654,7,1,none
2024-01-04,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,203,141.13,429,5,0,none
2024-01-04,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,91,207.83,194,5,0,none
2024-01-04,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,60,290.32,205,5,0,none
2024-01-04,Unit-Jaipur,Kids Denim Jeans,Denim,51,323.05,170,10,0,none
2024-01-04,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,36,434.31,81,14,0,none
2024-01-05,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,196,140.04,530,7,0,none
2024-01-05,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,89,212.86,327,14,0,none
2024-01-05,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,67,290.47,156,7,0,none
2024-01-05,Unit-Tirupur,Kids Denim Jeans,Denim,54,310.79,141,10,0,none
2024-01-05,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,48,432.41,136,7,1,none
2024-01-05,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,247,134.46,507,14,1,none
2024-01-05,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,93,224.85,214,5,0,none
2024-01-05,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,66,278.14,205,14,0,none
2024-01-05,Unit-Ludhiana,Kids Denim Jeans,Denim,59,316.32,124,5,0,none
2024-01-05,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,31,435.48,63,10,0,none
2024-01-05,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,146,139.56,522,14,0,none
2024-01-05,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,94,226.85,371,5,0,none
2024-01-05,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,53,284.17,119,10,0,none
2024-01-05,Unit-Jaipur,Kids Denim Jeans,Denim,59,297.92,230,14,0,none
2024-01-05,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,34,437.6,110,5,0,none
2024-01-06,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,150,132.47,320,10,0,none
2024-01-06,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,65,229.02,,10,0,none
2024-01-06,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,45,279.92,103,14,0,none
2024-01-06,Unit-Tirupur,Kids Denim Jeans,Denim,39,312.38,108,14,1,none
2024-01-06,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,29,452.05,105,10,1,none
2024-01-06,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,156,149.25,610,5,0,none
2024-01-06,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,66,221.66,179,5,0,none
2024-01-06,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,51,271.65,146,7,0,none
2024-01-06,Unit-Ludhiana,Kids Denim Jeans,Denim,40,308.6,153,5,0,none
2024-01-06,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,28,452.88,81,5,0,none
2024-01-06,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,157,149.58,453,5,0,none
2024-01-06,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,68,219.47,219,10,0,none
2024-01-06,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,54,281.1,121,10,0,none
2024-01-06,Unit-Jaipur,Kids Denim Jeans,Denim,42,298.65,120,10,0,none
2024-01-06,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,33,432.34,81,10,0,none
2024-01-07,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,86,139.59,325,5,0,none
2024-01-07,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,37,216.15,89,10,0,none
2024-01-07,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,27,279.82,93,5,0,none
2024-01-07,Unit-Tirupur,Kids Denim Jeans,Denim,24,304.3,86,10,0,none
2024-01-07,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,16,452.6,36,7,0,none
2024-01-07,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,75,130.28,285,14,0,none
2024-01-07,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,35,,77,5,0,none
2024-01-07,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,29,272.68,103,10,1,none
2024-01-07,Unit-Ludhiana,Kids Denim Jeans,Denim,20,307.25,55,5,0,none
2024-01-07,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,15,438.76,46,7,1,none
2024-01-07,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,82,140.42,,5,0,none
2024-01-07,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,36,217.36,98,10,0,none
2024-01-07,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,,289.66,70,10,0,none
2024-01-07,Unit-Jaipur,Kids Denim Jeans,Denim,125,321.41,,14,1,none
2024-01-07,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,15,431.65,45,5,0,none
2024-01-08,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,215,139.42,630,7,0,none
2024-01-08,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,87,221.42,304,7,0,none
2024-01-08,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,67,271.78,213,10,0,none
2024-01-08,Unit-Tirupur,Kids Denim Jeans,Denim,,309.7,179,5,1,none
2024-01-08,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,35,433.22,135,14,0,none
2024-01-08,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,195,146.7,553,10,0,none
2024-01-08,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,81,208.79,237,5,0,none
2024-01-08,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,72,286.67,170,5,0,none
2024-01-08,Unit-Ludhiana,Kids Denim Jeans,Denim,47,312.53,173,5,1,none
2024-01-08,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,38,431.31,131,14,0,none
2024-01-08,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,230,138.82,820,10,0,none
2024-01-08,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,93,207.44,223,7,0,none
2024-01-08,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,360,271.72,1405,7,1,none
2024-01-08,Unit-Jaipur,Kids Denim Jeans,Denim,58,,194,7,0,none
2024-01-08,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,46,452.03,140,7,1,none
2024-01-09,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,203,137.39,447,7,1,none
2024-01-09,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,99,211.89,310,14,0,none
2024-01-09,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,54,282.67,202,14,0,none
2024-01-09,Unit-Tirupur,Kids Denim Jeans,Denim,54,323.4,154,14,0,none
2024-01-09,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,40,467.7,,5,0,none
2024-01-09,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,231,136.11,902,10,0,none
2024-01-09,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,98,211.86,200,5,0,none
2024-01-09,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,59,268.97,176,14,0,none
2024-01-09,Unit-Ludhiana,Kids Denim Jeans,Denim,52,317.48,127,7,0,none
2024-01-09,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,35,430.98,83,7,0,none
2024-01-09,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,,133.98,679,5,0,none
2024-01-09,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,96,231.49,378,5,0,none
2024-01-09,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,60,269.36,210,10,0,none
2024-01-09,Unit-Jaipur,Kids Denim Jeans,Denim,55,319.6,148,7,0,none
2024-01-09,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,34,467.31,132,14,0,none
2024-01-10,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,203,138.2,603,7,1,none
2024-01-10,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,89,205.57,218,7,0,none
2024-01-10,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,64,285.36,164,10,1,none
2024-01-10,Unit-Tirupur,Kids Denim Jeans,Denim,52,322.89,119,5,0,none
2024-01-10,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,39,433.28,123,5,1,none
2024-01-10,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,204,137.61,773,5,0,none
2024-01-10,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,332,232.93,958,10,0,none
2024-01-10,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,70,280.79,268,10,0,none
2024-01-10,Unit-Ludhiana,Kids Denim Jeans,Denim,48,320.21,186,10,0,none
2024-01-10,Unit-Ludhiana,Women's Anarkali Suit Set,Georgette,33,464.98,129,14,0,none
2024-01-10,Unit-Jaipur,Men's Cotton Round Neck T-Shirt,Cotton,205,140.58,590,7,1,none
2024-01-10,Unit-Jaipur,Women's Rayon Printed Kurti,Rayon,80,213.32,224,7,0,none
2024-01-10,Unit-Jaipur,Men's Slim Fit Formal Shirt,Cotton Blend,,293.26,190,5,0,none
2024-01-10,Unit-Jaipur,Kids Denim Jeans,Denim,54,310.49,117,14,0,none
2024-01-10,Unit-Jaipur,Women's Anarkali Suit Set,Georgette,38,461.49,106,10,0,none
2024-01-11,Unit-Tirupur,Men's Cotton Round Neck T-Shirt,Cotton,206,139.75,640,14,0,none
2024-01-11,Unit-Tirupur,Women's Rayon Printed Kurti,Rayon,85,234.04,266,5,0,none
2024-01-11,Unit-Tirupur,Men's Slim Fit Formal Shirt,Cotton Blend,62,291.71,127,7,0,none
2024-01-11,Unit-Tirupur,Kids Denim Jeans,Denim,51,307.33,103,14,1,none
2024-01-11,Unit-Tirupur,Women's Anarkali Suit Set,Georgette,42,440.66,149,14,0,none
2024-01-11,Unit-Ludhiana,Men's Cotton Round Neck T-Shirt,Cotton,208,,709,14,0,none
2024-01-11,Unit-Ludhiana,Women's Rayon Printed Kurti,Rayon,74,215.25,207,10,0,none
2024-01-11,Unit-Ludhiana,Men's Slim Fit Formal Shirt,Cotton Blend,64,266.14,163,10,0,none
