date,city,category,sku,demand,unit_price,inventory_level,lead_time_days,promotion_flag,festival
2022-04-13,Mumbai,Footwear,SKU_ELE_008,19,1736.66,178,4,0,none
2023-03-12,Hyderabad,Apparel,SKU_APP_005,18,2826.06,143,4,0,none
2024-05-10,Delhi,Footwear,SKU_ELE_004,13,2765.04,331,3,1,none
2022-09-28,Mumbai,Electronics,SKU_ACC_008,16,970.26,87,5,0,none
2022-04-17,Pune,Footwear,SKU_FOO_006,19,2371.54,338,2,0,none
2022-03-13,Bangalore,Apparel,SKU_SPO_003,16,1307.72,269,3,0,none
2023-12-02,Pune,Electronics,SKU_APP_003,23,640.42,111,2,0,none
2022-01-21,Chennai,Apparel,SKU_ACC_009,12,1441.82,257,3,0,none
2023-09-07,Hyderabad,Footwear,SKU_ELE_009,20,615.1,231,4,0,none
2022-05-02,Delhi,Sportswear,SKU_ACC_002,28,1231.55,371,4,0,eid
2023-04-12,Hyderabad,Apparel,SKU_APP_004,22,398.82,223,5,0,none
2022-08-03,Ahmedabad,Footwear,SKU_FOO_006,20,3759.61,379,2,0,none
2022-11-27,Chennai,Footwear,SKU_ACC_003,21,2488.35,63,5,0,none
2023-04-04,Ahmedabad,Electronics,SKU_APP_007,18,3241.94,277,3,0,none
2022-03-29,Pune,Sportswear,SKU_SPO_005,25,1975.19,354,5,0,none
2023-01-08,Mumbai,Sportswear,SKU_FOO_006,17,1232.93,269,3,0,none
2022-04-10,Hyderabad,Electronics,SKU_ACC_004,25,2618.34,90,5,1,none
2024-05-21,Bangalore,Footwear,SKU_FOO_003,21,623.78,305,3,0,none
2023-10-26,Bangalore,Accessories,SKU_FOO_006,20,743.16,348,5,0,none
2022-05-11,Bangalore,Footwear,SKU_ACC_005,24,737.23,183,4,0,none
2023-10-24,Hyderabad,Sportswear,SKU_ELE_001,18,2349.7,331,5,0,none
2022-11-05,Ahmedabad,Apparel,SKU_ACC_004,22,302.86,59,3,0,none
2024-02-09,Ahmedabad,Apparel,SKU_ELE_003,24,2026.12,367,3,0,none
2022-12-10,Hyderabad,Footwear,SKU_SPO_009,29,3861.32,273,1,0,none
2023-05-07,Delhi,Electronics,SKU_ELE_007,20,3809.69,104,5,0,none
2023-02-18,Bangalore,Apparel,SKU_ACC_010,16,2603.89,366,5,0,none
2024-03-16,Chennai,Accessories,SKU_ELE_001,15,2426.78,137,3,0,none
2023-01-21,Bangalore,Accessories,SKU_ELE_010,24,2442.1,250,5,0,none
2022-07-11,Pune,Apparel,SKU_FOO_003,24,3338.41,59,3,0,none
2022-10-04,Ahmedabad,Sportswear,SKU_APP_008,20,1817.26,237,1,0,none
2022-06-10,Mumbai,Apparel,SKU_SPO_007,19,966.45,359,2,0,none
2023-04-05,Ahmedabad,Apparel,SKU_ELE_002,16,1349.88,275,5,0,none
2022-11-10,Kolkata,Sportswear,SKU_ELE_002,20,3834.8,191,4,0,none
2022-01-22,Kolkata,Apparel,SKU_APP_007,15,2888.08,345,5,0,none
2022-09-10,Delhi,Apparel,SKU_ELE_008,17,1593.03,96,4,0,none
2024-01-18,Hyderabad,Electronics,SKU_ACC_008,21,708.31,165,4,0,none
2024-05-06,Chennai,Accessories,SKU_APP_005,11,2268.92,216,3,0,none
2023-07-15,Delhi,Electronics,SKU_SPO_002,24,3301.28,262,3,0,none
2023-04-20,Mumbai,Footwear,SKU_FOO_008,18,663.68,58,1,1,none
2022-02-28,Delhi,Apparel,SKU_ELE_004,9,669.82,334,4,0,none
2023-05-26,Chennai,Electronics,SKU_FOO_005,24,2041.24,337,1,0,none
2023-11-13,Chennai,Sportswear,SKU_SPO_009,27,2740.38,218,2,0,diwali
2023-04-21,Kolkata,Electronics,SKU_APP_007,31,2558.88,67,2,0,eid
2023-12-01,Pune,Footwear,SKU_ELE_004,22,819.03,73,2,0,none
2024-02-22,Hyderabad,Accessories,SKU_FOO_008,20,1390.49,327,5,0,none
2022-07-09,Hyderabad,Sportswear,SKU_APP_001,21,3665.8,188,2,0,none
2023-11-18,Kolkata,Footwear,SKU_ELE_007,26,3565.73,227,3,0,none
2023-07-17,Hyderabad,Electronics,SKU_ELE_009,27,1261.24,173,1,0,none
2024-05-25,Delhi,Electronics,SKU_FOO_007,25,1063.83,146,5,0,none
2023-07-21,Hyderabad,Electronics,SKU_SPO_009,22,1620.95,387,1,0,none
2022-09-01,Bangalore,Apparel,SKU_ACC_004,26,3694.51,167,1,0,none
2024-04-11,Delhi,Electronics,SKU_ELE_010,22,1042.29,127,4,1,none
