date,distribution_region,product_name,brand,order_quantity,wholesale_unit_price_inr,warehouse_stock,dispatch_lead_time_days,bulk_discount_flag,season_event
2024-01-01,North,Relaxo Hawai Slippers,Relaxo,132,83.94,594,2,0,none
2024-01-01,North,Sparx Running Shoes SM-450,Sparx,40,667.94,153,2,0,none
2024-01-01,North,Bata Comfit Sandals,Bata,55,304.69,195,2,1,none
2024-01-01,North,Liberty Force-10 School Shoes,Liberty,34,405.36,119,2,0,none
2024-01-01,North,Action Formal Leather Shoes,Action,28,574.54,75,1,0,none
2024-01-01,South,Relaxo Hawai Slippers,Relaxo,131,90.96,577,1,0,none
2024-01-01,South,Sparx Running Shoes SM-450,Sparx,48,667.6,190,4,0,none
2024-01-01,South,Bata Comfit Sandals,Bata,65,337.12,172,3,0,none
2024-01-01,South,Liberty Force-10 School Shoes,Liberty,32,398.71,83,3,0,none
2024-01-01,South,Action Formal Leather Shoes,Action,27,579.68,127,3,0,none
2024-01-01,West,Relaxo Hawai Slippers,Relaxo,144,88.43,472,2,0,none
2024-01-01,West,Sparx Running Shoes SM-450,Sparx,45,656.96,177,2,0,none
2024-01-01,West,Bata Comfit Sandals,Bata,60,328.01,240,4,1,none
2024-01-01,West,Liberty Force-10 School Shoes,Liberty,37,393.73,171,2,0,none
2024-01-01,West,Action Formal Leather Shoes,Action,28,603.29,92,4,0,none
2024-01-02,North,Relaxo Hawai Slippers,Relaxo,126,90.34,496,4,0,none
2024-01-02,North,Sparx Running Shoes SM-450,Sparx,36,648.8,129,4,0,none
2024-01-02,North,Bata Comfit Sandals,Bata,53,327.93,156,1,0,none
2024-01-02,North,Liberty Force-10 School Shoes,Liberty,,415.58,98,2,0,none
2024-01-02,North,Action Formal Leather Shoes,Action,30,565.65,143,4,0,none
2024-01-02,South,Relaxo Hawai Slippers,Relaxo,132,87.89,375,3,0,none
2024-01-02,South,Sparx Running Shoes SM-450,Sparx,,,150,4,0,none
2024-01-02,South,Bata Comfit Sandals,Bata,59,301.33,291,2,1,none
2024-01-02,South,Liberty Force-10 School Shoes,Liberty,36,428.49,120,1,0,none
2024-01-02,South,Action Formal Leather Shoes,Action,35,595.79,155,4,0,none
