date,store_city,product_name,brand,units_sold,unit_price_inr,stock_on_hand,restock_lead_time_days,promotion_flag,sale_event
2024-01-01,Mumbai,boAt Airdopes 141,boAt,24,1256.24,92,5,0,none
2024-01-01,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,19,1473.07,74,3,0,none
2024-01-01,Mumbai,Samsung Galaxy M14 5G,Samsung,10,14189.5,26,4,0,none
2024-01-01,Mumbai,Noise ColorFit Pulse 2,Noise,13,1567.07,51,4,0,none
2024-01-01,Mumbai,JBL Go 3,JBL,11,2180.41,44,6,0,none
2024-01-01,Bangalore,boAt Airdopes 141,boAt,29,1279.02,108,5,0,none
2024-01-01,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,15,1497.9,39,3,0,none
2024-01-01,Bangalore,Samsung Galaxy M14 5G,Samsung,10,14036.75,39,6,1,none
2024-01-01,Bangalore,Noise ColorFit Pulse 2,Noise,16,1606.79,,6,0,none
2024-01-01,Bangalore,JBL Go 3,JBL,12,2165.8,34,3,0,none
2024-01-01,Delhi,boAt Airdopes 141,boAt,28,1289.16,89,4,0,none
2024-01-01,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,17,1537.42,,4,0,none
2024-01-01,Delhi,Samsung Galaxy M14 5G,Samsung,9,13857.27,35,7,0,none
2024-01-01,Delhi,Noise ColorFit Pulse 2,Noise,13,1616.62,34,7,0,none
2024-01-01,Delhi,JBL Go 3,JBL,11,2165.23,37,3,0,none
2024-01-02,Mumbai,boAt Airdopes 141,boAt,25,1256.03,75,6,0,none
2024-01-02,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,20,1495.6,74,3,0,none
2024-01-02,Mumbai,Samsung Galaxy M14 5G,Samsung,10,14005.53,30,7,0,none
2024-01-02,Mumbai,Noise ColorFit Pulse 2,Noise,13,1633.54,49,4,0,none
2024-01-02,Mumbai,JBL Go 3,JBL,13,2210.32,58,4,0,none
2024-01-02,Bangalore,boAt Airdopes 141,boAt,92,1328.01,339,4,0,none
2024-01-02,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,18,1544.5,61,4,0,none
2024-01-02,Bangalore,Samsung Galaxy M14 5G,Samsung,60,13936.6,246,3,0,none
2024-01-02,Bangalore,Noise ColorFit Pulse 2,Noise,14,1627.91,47,6,0,none
2024-01-02,Bangalore,JBL Go 3,JBL,11,2195.54,46,7,0,none
2024-01-02,Delhi,boAt Airdopes 141,boAt,25,1262.1,63,3,0,none
2024-01-02,Delhi,Mi Power Bank 3i 20000mAh,Xiaomi,19,1478.3,59,7,0,none
2024-01-02,Delhi,Samsung Galaxy M14 5G,Samsung,8,14158.08,33,7,0,none
2024-01-02,Delhi,Noise ColorFit Pulse 2,Noise,14,1567.31,35,4,0,none
2024-01-02,Delhi,JBL Go 3,JBL,11,2200.83,43,3,0,none
2024-01-03,Mumbai,boAt Airdopes 141,boAt,108,1293.32,435,7,0,none
2024-01-03,Mumbai,Mi Power Bank 3i 20000mAh,Xiaomi,19,1499.78,59,7,0,none
2024-01-03,Mumbai,Samsung Galaxy M14 5G,Samsung,11,13847.65,40,3,0,none
2024-01-03,Mumbai,Noise ColorFit Pulse 2,Noise,13,1626.69,63,5,0,none
2024-01-03,Mumbai,JBL Go 3,JBL,12,2247.99,55,4,0,none
2024-01-03,Bangalore,boAt Airdopes 141,boAt,24,,82,5,0,none
2024-01-03,Bangalore,Mi Power Bank 3i 20000mAh,Xiaomi,16,1547.51,72,3,0,none
2024-01-03,Bangalore,Samsung Galaxy M14 5G,Samsung,8,14126.91,37,5,0,none
